#NUMBER OF AGES= 1 MAGS= 6
#----------------------------------------------------       
#MIX-LEN  Y      Z          Zeff        [Fe/H] [a/Fe]
# 1.9380  0.2484 2.1123E-03 1.0752E-03  -1.19   0.40 
#----------------------------------------------------       
#**PHOTOMETRIC SYSTEM**: DECam (AB)
#----------------------------------------------------       
#AGE= 6.000 EEPS=271
#EEP   M/Mo    LogTeff  LogG   LogL/Lo DECam_u DECam_g DECam_r DECam_i DECam_z DECam_Y
 222  1.034471  3.7064  2.6584  1.5732  2.4020  1.3583  0.7878  0.5980  0.5118  0.4828
 223  1.034502  3.7062  2.6531  1.5776  2.3938  1.3484  0.7771  0.5869  0.5004  0.4713
 224  1.034532  3.7059  2.6479  1.5820  2.3858  1.3384  0.7663  0.5758  0.4890  0.4598
 225  1.034562  3.7057  2.6427  1.5864  2.3777  1.3285  0.7556  0.5647  0.4777  0.4484
 226  1.034593  3.7056  2.6375  1.5908  2.3695  1.3186  0.7448  0.5536  0.4663  0.4369
 227  1.034884  3.7035  2.5842  1.6359  2.2878  1.2173  0.6350  0.4401  0.3502  0.3195
 228  1.035160  3.7012  2.5286  1.6827  2.2057  1.1132  0.5214  0.3224  0.2297  0.1979
 229  1.035409  3.6988  2.4718  1.7299  2.1274  1.0098  0.4071  0.2037  0.1078  0.0747
 230  1.035625  3.6962  2.4138  1.7776  2.0520  0.9068  0.2922  0.0839 -0.0152 -0.0499
 231  1.035825  3.6937  2.3576  1.8238  1.9809  0.8079  0.1812 -0.0320 -0.1344 -0.1705
 232  1.036004  3.6915  2.3086  1.8639  1.9188  0.7214  0.0844 -0.1331 -0.2383 -0.2756
 233  1.036173  3.6894  2.2624  1.9018  1.8589  0.6402 -0.0065 -0.2281 -0.3361 -0.3745
 234  1.036331  3.6877  2.2259  1.9317  1.8098  0.5754 -0.0787 -0.3035 -0.4136 -0.4530
 235  1.036479  3.6877  2.2195  1.9380  1.7906  0.5584 -0.0955 -0.3202 -0.4302 -0.4696
 236  1.036644  3.6887  2.2338  1.9278  1.7937  0.5754 -0.0732 -0.2956 -0.4043 -0.4431
 237  1.036816  3.6860  2.1761  1.9748  1.7230  0.4760 -0.1854 -0.4132 -0.5253 -0.5657
 238  1.036974  3.6831  2.1179  2.0219  1.6549  0.3777 -0.2971 -0.5305 -0.6464 -0.6883
 239  1.037114  3.6805  2.0638  2.0655  1.5930  0.2872 -0.4001 -0.6389 -0.7583 -0.8017
 240  1.037241  3.6781  2.0157  2.1042  1.5404  0.2080 -0.4909 -0.7346 -0.8573 -0.9022
 241  1.037360  3.6765  1.9832  2.1300  1.5099  0.1569 -0.5505 -0.7976 -0.9228 -0.9686
 242  1.037474  3.6754  1.9645  2.1447  1.4990  0.1303 -0.5829 -0.8325 -0.9592 -1.0057
 243  1.037587  3.6727  1.9089  2.1892  1.4427  0.0406 -0.6867 -0.9420 -1.0727 -1.1210
 244  1.037690  3.6696  1.8507  2.2353  1.3879 -0.0505 -0.7934 -1.0550 -1.1900 -1.2401
 245  1.037781  3.6666  1.7940  2.2801  1.3371 -0.1380 -0.8966 -1.1645 -1.3039 -1.3558
 246  1.037864  3.6636  1.7384  2.3238  1.2894 -0.2228 -0.9970 -1.2712 -1.4149 -1.4687
 247  1.037939  3.6607  1.6822  2.3680  1.2425 -0.3077 -1.0981 -1.3788 -1.5268 -1.5825
